Lactococcus data,,,,,
WT,,,Mutant,,
timestamp [s],elapsed time [h],Photometer output [V],timestamp [s],elapsed time [h],Photometer output [V]
3709943919,3.066667778,2.225727,3710366289,3.066666389,1.634556
3709943949,3.075001111,2.224536,3710366319,3.074999444,1.634556
3709943979,3.083334167,2.227513,3710366349,3.083333055,1.633365
3709944009,3.091677778,2.223345,3710366379,3.091666111,1.635746
3709944039,3.100001111,2.222155,3710366409,3.099999444,1.632174
3709944069,3.108333611,2.225131,3710366439,3.108333611,1.633365
3709944099,3.116667778,2.225131,3710366469,3.116666111,1.632769
3709944129,3.124998611,2.223941,3710366499,3.124997778,1.634556
3709944159,3.133333611,2.225727,3710366529,3.133332778,1.634556
3709944189,3.1416675,2.221559,3710366559,3.141666667,1.631579
3709944219,3.150001389,2.221559,3710366589,3.149997778,1.632769
3709944249,3.158334167,2.222155,3710366619,3.158333055,1.632769
3709944279,3.166667778,2.224536,3710366649,3.166666111,1.635151
3709944309,3.175000556,2.223345,3710366679,3.174999722,1.635746
3709944339,3.183334167,2.22275,3710366709,3.183333611,1.634556
3709944369,3.1916675,2.220369,3710366739,3.191666389,1.632769
3709944399,3.200000833,2.222155,3710366769,3.199999167,1.635151
3709944429,3.208333333,2.219178,3710366799,3.208331111,1.635151
3709944459,3.216667222,2.220964,3710366829,3.216666389,1.635151
3709944489,3.225000833,2.219773,3710366859,3.224998056,1.635151
3709944519,3.233333611,2.222155,3710366889,3.233332778,1.632769
3709944549,3.2416675,2.221559,3710366919,3.241666389,1.632769
3709944579,3.249998611,2.223345,3710366949,3.249999167,1.633365
3709944609,3.258335556,2.222155,3710366979,3.258333333,1.632174
3709944639,3.266667222,2.223345,3710367009,3.266666667,1.63396
3709944669,3.275000833,2.220369,3710367039,3.274999444,1.635151
3709944699,3.283334444,2.22275,3710367069,3.283332222,1.636342
3709944729,3.291666944,2.219773,3710367099,3.291666389,1.635151
3709944759,3.300001111,2.220964,3710367129,3.299999444,1.639914
3709944789,3.308334444,2.222155,3710367159,3.308332778,1.638128
3709944819,3.316665278,2.226322,3710367189,3.316666667,1.635151
3709944849,3.325,2.22275,3710367219,3.324998889,1.632769
3709944879,3.333334444,2.22275,3710367249,3.333330833,1.635151
3709944909,3.341667222,2.223941,3710367279,3.341665833,1.63396
3709944939,3.350000833,2.222155,3710367309,3.349997778,1.636342
3709944969,3.358331667,2.223941,3710367339,3.358330833,1.634556
3709944999,3.366667778,2.22275,3710367369,3.366665,1.630388
3709945029,3.374998611,2.226917,3710367399,3.374999444,1.636342
3709945059,3.383331667,2.221559,3710367429,3.383331389,1.632769
3709945089,3.391665278,2.223941,3710367459,3.391664444,1.634556
3709945119,3.400000556,2.225727,3710367489,3.399997778,1.632769
3709945149,3.408333333,2.228108,3710367519,3.408332778,1.634556
3709945179,3.416667778,2.225727,3710367549,3.416666389,1.631579
3709945209,3.425000833,2.225131,3710367579,3.424999444,1.63396
3709945239,3.433333889,2.226322,3710367609,3.433333611,1.636342
3709945269,3.441667222,2.226322,3710367639,3.441666111,1.635746
3709945299,3.450001111,2.226322,3710367669,3.449998889,1.63396
3709945329,3.458334444,2.225727,3710367699,3.458333333,1.633365
3709945359,3.4666675,2.223345,3710367729,3.466666667,1.638128
3709945389,3.474999722,2.227513,3710367759,3.474999444,1.636937
3709945419,3.483333056,2.223941,3710367789,3.483331667,1.636342
3709945449,3.491667222,2.226917,3710367819,3.491666111,1.635151
3709945479,3.500000833,2.225131,3710367849,3.499997778,1.634556
3709945509,3.508334167,2.225727,3710367879,3.508332778,1.634556
3709945539,3.5166675,2.223345,3710367909,3.516666111,1.632174
3709945569,3.525001111,2.223941,3710367939,3.524998889,1.634556
3709945599,3.533331944,2.226322,3710367969,3.533331111,1.634556
3709945629,3.541665556,2.225131,3710367999,3.541665833,1.636342
3709945659,3.550000833,2.228108,3710368029,3.549999167,1.635151
3709945689,3.558333611,2.226917,3710368059,3.558333055,1.633365
3709945719,3.566664722,2.228108,3710368089,3.566666389,1.632174
3709945749,3.575001111,2.225131,3710368119,3.574999722,1.639318
