time/s,Ewe/V,simplifying data 20 pt,simplifying data 24 pt
76920,1.5811563,0,1
76925,1.5847484,0,0
76930,1.5876335,0,0
76935,1.5816147,0,0
76940,1.5739528,0,0
76945,1.5794175,0,0
76950,1.5858375,0,0
76955,1.58022,0,0
76960,1.5812517,0,0
76965,1.5866017,0,0
76970,1.5750419,0,0
76975,1.5901748,0,0
76980,1.5853407,0,0
76985,1.5738381,0,0
76990,1.5828185,0,0
76995,1.5839268,0,0
77000,1.5922766,1,0
77005,1.5793028,0,0
77010,1.5819014,0,0
77015,1.5784431,0,0
77020,1.5832962,0,0
77025,1.579169,0,0
77030,1.5821689,0,0
77035,1.5850923,0,0
77040,1.5894679,0,1
77045,1.5854745,0,0
77050,1.578271,0,0
77055,1.5867928,0,0
77060,1.5809269,0,0
77065,1.5865636,0,0
77070,1.5857801,0,0
77075,1.5769526,0,0
77080,1.5814428,0,0
77085,1.580602,0,0
77090,1.5874233,0,0
77095,1.5848057,0,0
77100,1.5821116,1,0
77105,1.5858184,0,0
77110,1.5852834,0,0
77115,1.5681251,0,0
77120,1.5826274,0,0
77125,1.5721759,0,0
77130,1.5765896,0,0
77135,1.5856464,0,0
77140,1.5824937,0,0
77145,1.5864298,0,0
77150,1.5896398,0,0
77155,1.5848821,0,0
77160,1.5714307,0,1
77165,1.5630808,0,0
77170,1.5873088,0,0
77175,1.5812517,0,0
77180,1.591092,0,0
77185,1.5862197,0,0
77190,1.5830287,0,0
77195,1.5900984,0,0
77200,1.5778888,1,0
77205,1.5802391,0,0
77210,1.5837548,0,0
77215,1.581118,0,0
77220,1.5849967,0,0
77225,1.5767998,0,0
77230,1.5705518,0,0
77235,1.5799142,0,0
77240,1.5864106,0,0
77245,1.5826466,0,0
77250,1.5851114,0,0
77255,1.5851496,0,0
77260,1.5883405,0,0
77265,1.585933,0,0
77270,1.5701314,0,0
77275,1.5793792,0,0
77280,1.5848629,0,1
77285,1.5813664,0,0
77290,1.5890666,0,0
77295,1.5858566,0,0
77300,1.5896589,1,0
77305,1.5659087,0,0
77310,1.5926588,0,0
77315,1.5878628,0,0
77320,1.587366,0,0
77325,1.5890284,0,0
77330,1.5668067,0,0
77335,1.5870603,0,0
77340,1.5812135,0,0
77345,1.5897162,0,0
77350,1.5906143,0,0
77355,1.5872896,0,0
77360,1.587003,0,0
77365,1.5852261,0,0
77370,1.5897735,0,0
77375,1.5851496,0,0
77380,1.5720038,0,0
77385,1.5926969,0,0
77390,1.5858375,0,0
77395,1.5808314,0,0
77400,1.58771,1,1
77405,1.5835255,0,0
77410,1.5882258,0,0
77415,1.5770482,0,0
77420,1.5884169,0,0
77425,1.5847484,0,0
77430,1.5776596,0,0
77435,1.5858375,0,0
77440,1.5893149,0,0
77445,1.5872514,0,0
77450,1.5815383,0,0
77455,1.5807741,0,0
77460,1.5784048,0,0
77465,1.5746598,0,0
77470,1.5604632,0,0
77475,1.5879202,0,0
77480,1.5859522,0,0
77485,1.5778507,0,0
77490,1.5920281,0,0
77495,1.5869648,0,0
77500,1.590041,1,0
77505,1.5831243,0,0
77510,1.5938816,0,0
77515,1.5796276,0,0
77520,1.5867164,0,1
77525,1.5868119,0,0
77530,1.5857419,0,0
77535,1.5806786,0,0
77540,1.5866781,0,0
77545,1.5889519,0,0
77550,1.5857037,0,0
77555,1.5868119,0,0
77560,1.5801053,0,0
77565,1.566329,0,0
77570,1.5690422,0,0
77575,1.5708383,0,0
77580,1.5772774,0,0
77585,1.581481,0,0
77590,1.5712969,0,0
77595,1.5876527,0,0
77600,1.5808123,1,0
77605,1.5946268,0,0
77610,1.5796086,0,0
77615,1.5809078,0,0
77620,1.5878055,0,0
77625,1.5857037,0,0
77630,1.5731885,0,0
77635,1.580602,0,0
77640,1.5877864,0,1
77645,1.580755,0,0
77650,1.5761693,0,0
77655,1.5835829,0,0
77660,1.5955821,0,0
77665,1.5848821,0,0
77670,1.583984,0,0
77675,1.5706091,0,0
77680,1.572902,0,0
77685,1.5893341,0,0
77690,1.5825129,0,0
77695,1.5879393,0,0
77700,1.59306,1,0
77705,1.5752903,0,0
77710,1.590022,0,0
77715,1.5819014,0,0
77720,1.5923339,0,0
77725,1.590404,0,0
77730,1.5857801,0,0
77735,1.5825129,0,0
77740,1.5896207,0,0
77745,1.5700167,0,0
77750,1.5871558,0,0
77755,1.5901175,0,0
77760,1.5851687,0,1
77765,1.5854362,0,0
77770,1.584519,0,0
77775,1.5870413,0,0
77780,1.588436,0,0
77785,1.5876144,0,0
77790,1.5774112,0,0
77795,1.5757297,0,0
77800,1.5735898,1,0
77805,1.5669404,0,0
77810,1.5812327,0,0
77815,1.5883214,0,0
77820,1.5870986,0,0
77825,1.5857611,0,0
77830,1.58129,0,0
77835,1.5689467,0,0
77840,1.5837166,0,0
77845,1.5816147,0,0
77850,1.5692906,0,0
77855,1.5770863,0,0
77860,1.5858948,0,0
77865,1.5882068,0,0
77870,1.584691,0,0
77875,1.5939198,0,0
77880,1.5872514,0,1
77885,1.5913595,0,0
77890,1.5891812,0,0
77895,1.5616478,0,0
77900,1.5889901,1,0
77905,1.5899646,0,0
77910,1.5834873,0,0
77915,1.5835446,0,0
77920,1.5858566,0,0
77925,1.5913212,0,0
77930,1.5779271,0,0
77935,1.5826083,0,0
77940,1.5618198,0,0
77945,1.5852834,0,0
77950,1.5884743,0,0
77955,1.5862578,0,0
77960,1.5780226,0,0
77965,1.5759017,0,0
77970,1.5733414,0,0
77975,1.5831624,0,0
77980,1.5900984,0,0
77985,1.5835446,0,0
77990,1.5852451,0,0
77995,1.5913595,0,0
78000,1.5909582,1,1
78005,1.5898118,0,0
78010,1.5882449,0,0
78015,1.5696537,0,0
78020,1.5898882,0,0
78025,1.5678385,0,0
78030,1.5849203,0,0
78035,1.5892385,0,0
78040,1.566864,0,0
78045,1.5843662,0,0
78050,1.5843089,0,0
78055,1.5857037,0,0
78060,1.5759208,0,0
78065,1.5881112,0,0
78070,1.572902,0,0
78075,1.5928307,0,0
78080,1.5866591,0,0
78085,1.5826848,0,0
78090,1.5883787,0,0
78095,1.5770099,0,0
78100,1.5800672,1,0
78105,1.5818822,0,0
78110,1.5902703,0,0
78115,1.58771,0,0
78120,1.587538,0,1
78125,1.5811944,0,0
78130,1.575233,0,0
78135,1.5860859,0,0
78140,1.5819969,0,0
78145,1.5657176,0,0
78150,1.5784048,0,0
78155,1.5853215,0,0
78160,1.5819205,0,0
78165,1.585207,0,0
78170,1.5796276,0,0
78175,1.5859139,0,0
78180,1.5791882,0,0
78185,1.5857801,0,0
78190,1.578634,0,0
78195,1.5785576,0,0
78200,1.5805639,1,0
78205,1.576131,0,0
78210,1.5843471,0,0
78215,1.5893914,0,0
78220,1.583793,0,0
78225,1.5879966,0,0
78230,1.5812708,0,0
78235,1.5882068,0,0
78240,1.5846337,0,1
78245,1.5856655,0,0
78250,1.5879583,0,0
78255,1.5849395,0,0
78260,1.5917416,0,0
78265,1.5835637,0,0
78270,1.5731885,0,0
78275,1.5859903,0,0
78280,1.5877482,0,0
78285,1.5915505,0,0
78290,1.5806786,0,0
78295,1.5867928,0,0
78300,1.5745833,1,0
78305,1.5767616,0,0
78310,1.5748508,0,0
78315,1.5799142,0,0
78320,1.5833726,0,0
78325,1.5860667,0,0
78330,1.5882641,0,0
78335,1.5661571,0,0
78340,1.5755578,0,0
78345,1.578787,0,0
78350,1.5863725,0,0
78355,1.5715454,0,0
78360,1.5759782,0,1
78365,1.581825,0,0
78370,1.5874997,0,0
78375,1.5841178,0,0
78380,1.5866781,0,0
78385,1.5883596,0,0
78390,1.5835446,0,0
78395,1.583086,0,0
78400,1.5655648,1,0
78405,1.5839076,0,0
78410,1.5955439,0,0
78415,1.5824746,0,0
78420,1.5806594,0,0
78425,1.5859903,0,0
78430,1.5729975,0,0
78435,1.5859139,0,0
78440,1.59306,0,0
78445,1.5817294,0,0
78450,1.5767998,0,0
78455,1.5868502,0,0
78460,1.5793601,0,0
78465,1.5897545,0,0
78470,1.5892004,0,0
78475,1.5838695,0,0
78480,1.5898118,0,1
78485,1.5799906,0,0
78490,1.5930408,0,0
78495,1.5882258,0,0
78500,1.5881877,1,0
78505,1.5829905,0,0
78510,1.579169,0,0
78515,1.577201,0,0
78520,1.5822644,0,0
78525,1.5831816,0,0
78530,1.5840796,0,0
78535,1.5848248,0,0
78540,1.5804111,0,0
78545,1.5818441,0,0
78550,1.5709338,0,0
78555,1.571316,0,0
78560,1.5780035,0,0
78565,1.5575397,0,0
78570,1.5690231,0,0
78575,1.5841943,0,0
78580,1.5834491,0,0
78585,1.5848821,0,0
78590,1.5734178,0,0
78595,1.5829141,0,0
78600,1.5818058,1,1
78605,1.5817485,0,0
78610,1.5849203,0,0
78615,1.5882832,0,0
78620,1.5839649,0,0
78625,1.5663482,0,0
78630,1.5794365,0,0
78635,1.5848248,0,0
78640,1.584137,0,0
78645,1.5822071,0,0
78650,1.5792837,0,0
78655,1.5741056,0,0
78660,1.588436,0,0
78665,1.5810033,0,0
78670,1.5760736,0,0
78675,1.5707428,0,0
78680,1.5844235,0,0
78685,1.5857611,0,0
78690,1.5766279,0,0
78695,1.5840796,0,0
78700,1.5745069,1,0
78705,1.5815383,0,0
78710,1.5810416,0,0
78715,1.5835063,0,0
78720,1.5885124,0,1
78725,1.5878819,0,0
78730,1.5810989,0,0
78735,1.5835063,0,0
78740,1.5889519,0,0
78745,1.5800098,0,0
78750,1.5808123,0,0
78755,1.581825,0,0
78760,1.5771246,0,0
78765,1.5821116,0,0
78770,1.579513,0,0
78775,1.5753858,0,0
78780,1.5848439,0,0
78785,1.5697875,0,0
78790,1.5770863,0,0
78795,1.5857228,0,0
78800,1.5810989,1,0
78805,1.5844809,0,0
78810,1.5846146,0,0
78815,1.5765514,0,0
78820,1.5835255,0,0
78825,1.5849012,0,0
78830,1.5688703,0,0
78835,1.5792454,0,0
78840,1.5588963,0,1
78845,1.5589346,0,0
78850,1.5798951,0,0
78855,1.5839268,0,0
78860,1.5724815,0,0
78865,1.5801053,0,0
78870,1.5682589,0,0
78875,1.5739719,0,0
78880,1.5868883,0,0
78885,1.5795894,0,0
78890,1.5755769,0,0
78895,1.5829332,0,0
78900,1.5783284,1,0
78905,1.5796276,0,0
78910,1.5872896,0,0
78915,1.5803919,0,0
78920,1.5832198,0,0
78925,1.5876527,0,0
78930,1.5650297,0,0
78935,1.5652399,0,0
78940,1.5523617,0,0
78945,1.5722713,0,0
78950,1.5655648,0,0
78955,1.5776405,0,0
78960,1.5756725,0,1
78965,1.5800289,0,0
78970,1.5805066,0,0
78975,1.5854553,0,0
78980,1.5602721,0,0
78985,1.577736,0,0
78990,1.5797423,0,0
78995,1.5780035,0,0
79000,1.584519,1,0
79005,1.5706664,0,0
79010,1.5781182,0,0
79015,1.5801244,0,0
79020,1.5762074,0,0
79025,1.5615904,0,0
79030,1.5817103,0,0
79035,1.5765132,0,0
79040,1.5860476,0,0
79045,1.5677048,0,0
79050,1.5766279,0,0
79055,1.5773538,0,0
79060,1.5819396,0,0
79065,1.5861241,0,0
79070,1.5709912,0,0
79075,1.581481,0,0
79080,1.5759017,0,1
79085,1.5763412,0,0
79090,1.5714498,0,0
79095,1.5750802,0,0
79100,1.5693671,1,0
79105,1.5784621,0,0
79110,1.5594505,0,0
79115,1.5840414,0,0
79120,1.5790353,0,0
79125,1.5863152,0,0
79130,1.5773157,0,0
79135,1.5762266,0,0
79140,1.5686601,0,0
79145,1.5870603,0,0
79150,1.5803728,0,0
79155,1.5757107,0,0
79160,1.5555335,0,0
79165,1.5779462,0,0
79170,1.5797805,0,0
79175,1.5683544,0,0
79180,1.5598518,0,0
79185,1.5765514,0,0
79190,1.5731885,0,0
79195,1.578806,0,0
79200,1.5711632,1,1
79205,1.5707619,0,0
79210,1.5773157,0,0
79215,1.5794556,0,0
79220,1.5643992,0,0
79225,1.5775832,0,0
79230,1.5730357,0,0
79235,1.5758063,0,0
79240,1.581118,0,0
79245,1.5785767,0,0
79250,1.5818058,0,0
79255,1.5730165,0,0
79260,1.5762266,0,0
79265,1.5794748,0,0
79270,1.571488,0,0
79275,1.5605204,0,0
79280,1.5728064,0,0
79285,1.5774494,0,0
79290,1.5689086,0,0
79295,1.5711441,0,0
79300,1.5651062,1,0
79305,1.5753858,0,0
79310,1.5740484,0,0
79315,1.5706282,0,0
79320,1.5732076,0,1
79325,1.5751947,0,0
